epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8818.08,0.41869,0.24268,0.00672,0.99543,0.97956,0.99472,0.98094,0.22024,0.09791,0.00478,0.000775822,0.000775822,0.000775822
56,8976.63,0.43292,0.25186,0.00684,0.98699,0.98978,0.99472,0.97972,0.21776,0.09997,0.00477,0.000759318,0.000759318,0.000759318
57,9135.44,0.42902,0.25911,0.00685,0.9902,0.99059,0.99489,0.98153,0.2144,0.09378,0.00467,0.000742815,0.000742815,0.000742815
58,9297.3,0.42163,0.24789,0.00674,0.99283,0.99527,0.99499,0.98204,0.20811,0.09389,0.00453,0.000726312,0.000726312,0.000726312
59,9457.11,0.4137,0.24986,0.00651,0.99064,0.97846,0.99462,0.98056,0.20577,0.10147,0.00445,0.000709809,0.000709809,0.000709809
60,9620.62,0.4076,0.23505,0.0065,0.97951,0.98847,0.99467,0.98165,0.1987,0.09752,0.00431,0.000693305,0.000693305,0.000693305
61,9782.26,0.39649,0.22736,0.00624,0.99581,0.97566,0.99457,0.98249,0.2153,0.09784,0.00475,0.000676802,0.000676802,0.000676802
62,9939.34,0.41598,0.23872,0.00671,0.98951,0.98989,0.99481,0.98133,0.20565,0.09235,0.00451,0.000660299,0.000660299,0.000660299
63,10097,0.40217,0.22851,0.00637,0.99626,0.97201,0.99445,0.98038,0.20312,0.10015,0.00454,0.000643795,0.000643795,0.000643795
64,10254,0.38746,0.22988,0.0061,0.98741,0.9904,0.99477,0.98271,0.20759,0.09153,0.00455,0.000627292,0.000627292,0.000627292
65,10411.1,0.38909,0.23015,0.00615,0.97729,0.98837,0.99416,0.98244,0.2038,0.10518,0.00444,0.000610789,0.000610789,0.000610789
66,10568.1,0.38879,0.22067,0.00625,0.98072,0.98162,0.99414,0.98139,0.20137,0.10867,0.00433,0.000594286,0.000594286,0.000594286
67,10725.4,0.38619,0.22101,0.00596,0.98943,0.99227,0.99465,0.98486,0.1957,0.091,0.00427,0.000577782,0.000577782,0.000577782
68,10882.5,0.38249,0.2215,0.00602,0.98219,0.98394,0.99356,0.98238,0.19753,0.10794,0.00428,0.000561279,0.000561279,0.000561279
69,11039.5,0.36939,0.20614,0.00592,0.98782,0.9753,0.99414,0.982,0.19372,0.10086,0.00423,0.000544776,0.000544776,0.000544776
70,11196.6,0.37786,0.21775,0.00595,0.98622,0.98906,0.99475,0.98375,0.19338,0.09073,0.00423,0.000528272,0.000528272,0.000528272
71,11353.7,0.36634,0.2137,0.00582,0.9868,0.99004,0.99471,0.98579,0.18067,0.08775,0.0039,0.000511769,0.000511769,0.000511769
72,11510.8,0.37646,0.21857,0.00587,0.9901,0.97929,0.99439,0.98441,0.18948,0.09267,0.00411,0.000495266,0.000495266,0.000495266
73,11667.9,0.35815,0.21079,0.00566,0.97815,0.99098,0.99458,0.98657,0.17339,0.08637,0.0037,0.000478762,0.000478762,0.000478762
74,11826.6,0.36541,0.21371,0.00572,0.99368,0.99041,0.99471,0.98583,0.17989,0.08712,0.00394,0.000462259,0.000462259,0.000462259
75,11994.3,0.35852,0.2028,0.00567,0.99217,0.99579,0.99496,0.98537,0.17912,0.07661,0.00389,0.000445756,0.000445756,0.000445756
76,12153,0.36171,0.20239,0.00565,0.98795,0.98471,0.99449,0.98654,0.17834,0.08797,0.00386,0.000429253,0.000429253,0.000429253
77,12311.2,0.35583,0.19843,0.0055,0.98194,0.99708,0.99483,0.98744,0.17101,0.07683,0.00365,0.000412749,0.000412749,0.000412749
78,12471.7,0.34265,0.19586,0.00542,0.99385,0.9906,0.99468,0.98738,0.16697,0.07746,0.00359,0.000396246,0.000396246,0.000396246
79,12629.8,0.3552,0.20027,0.00553,0.98592,0.98579,0.99448,0.98614,0.1679,0.08678,0.00359,0.000379743,0.000379743,0.000379743
80,12789.3,0.33882,0.18897,0.00526,0.98779,0.98346,0.99463,0.98647,0.1675,0.07911,0.00357,0.000363239,0.000363239,0.000363239
81,12949,0.34695,0.19503,0.00544,0.98263,0.99073,0.99463,0.98564,0.16956,0.08369,0.00361,0.000346736,0.000346736,0.000346736
82,13109.6,0.33535,0.18508,0.00522,0.98678,0.98567,0.99465,0.98642,0.16363,0.08728,0.00349,0.000330233,0.000330233,0.000330233
83,13266.7,0.3435,0.19652,0.0053,0.98576,0.98429,0.9941,0.98532,0.16608,0.10012,0.00354,0.000313729,0.000313729,0.000313729
84,13426.4,0.32576,0.17604,0.00507,0.98539,0.98722,0.99474,0.98746,0.15855,0.0792,0.00336,0.000297226,0.000297226,0.000297226
85,13585.6,0.32156,0.18282,0.00505,0.99372,0.99545,0.99498,0.98813,0.15458,0.06959,0.00329,0.000280723,0.000280723,0.000280723
86,13745,0.33457,0.18749,0.00519,0.98941,0.98755,0.99459,0.98764,0.15848,0.08247,0.00338,0.00026422,0.00026422,0.00026422
87,13910.3,0.32227,0.18534,0.00505,0.99138,0.98139,0.99464,0.98826,0.15472,0.07881,0.00329,0.000247716,0.000247716,0.000247716
88,14069,0.32627,0.18188,0.00507,0.99233,0.98903,0.99491,0.98899,0.15147,0.07025,0.00321,0.000231213,0.000231213,0.000231213
89,14227.5,0.32175,0.18615,0.00497,0.99411,0.98232,0.99461,0.98904,0.15161,0.08019,0.00321,0.00021471,0.00021471,0.00021471
90,14386.6,0.31733,0.18098,0.00496,0.99324,0.98915,0.99462,0.98905,0.15316,0.07829,0.00329,0.000198206,0.000198206,0.000198206
91,14545.1,0.20241,0.08875,0.00464,0.99091,0.99463,0.9949,0.98834,0.16035,0.0729,0.00344,0.000181703,0.000181703,0.000181703
92,14702.2,0.20014,0.08778,0.00456,0.98965,0.99188,0.99415,0.98737,0.15748,0.09061,0.00337,0.0001652,0.0001652,0.0001652
93,14858.8,0.1906,0.08191,0.0042,0.98512,0.98501,0.99457,0.98728,0.15764,0.08598,0.00336,0.000148696,0.000148696,0.000148696
94,15015.3,0.1903,0.08239,0.00427,0.99611,0.99258,0.99496,0.9889,0.14841,0.06659,0.00315,0.000132193,0.000132193,0.000132193
95,15171.9,0.19096,0.07806,0.00426,0.99036,0.98747,0.99442,0.98815,0.15385,0.08632,0.00328,0.00011569,0.00011569,0.00011569
96,15328.4,0.17925,0.07676,0.00396,0.98769,0.98821,0.99441,0.98784,0.15329,0.08622,0.00326,9.91865e-05,9.91865e-05,9.91865e-05
97,15485.1,0.17793,0.07652,0.00397,0.99059,0.99109,0.994,0.9877,0.15073,0.08537,0.00321,8.26832e-05,8.26832e-05,8.26832e-05
98,15641.6,0.17622,0.07593,0.00383,0.98848,0.98707,0.99426,0.98804,0.15196,0.08644,0.00322,6.61799e-05,6.61799e-05,6.61799e-05
99,15798.1,0.1726,0.0742,0.00378,0.98938,0.99272,0.99397,0.98767,0.14937,0.08704,0.00317,4.96766e-05,4.96766e-05,4.96766e-05
100,15954.6,0.17462,0.07267,0.00384,0.98948,0.98998,0.99373,0.98732,0.1485,0.09082,0.00315,3.31733e-05,3.31733e-05,3.31733e-05
